Owner,API #,Longitude,Latitude,Property #,Lease / Well Name,Tank MID,Tank Name,Tank Nbr,Tank Size,BBLS Per Inch,SEC,TWP,RNG,COUNTY
"Continental Resources, Inc.",3310501802,-103.9763796,48.242238,209265,Ricky 1-18H,4700,Ricky - Tank 2,2,400.95346,1.670639417,18,155N,103W,WILLIAMS
"Continental Resources, Inc.",3310501802,-103.9763796,48.242238,209265,Ricky 1-18H,4701,Ricky - Tank 3,3,400.84786,1.670199417,18,155N,103W,WILLIAMS
"Continental Resources, Inc.",3310501799,-103.9760046,48.2404546,209266,Kari 1-19H,4831,Kari 1 - Tank 1,1,404.77031,1.686542958,19,155N,103W,WILLIAMS
"Continental Resources, Inc.",3310501799,-103.9760046,48.2404546,209266,Kari 1-19H,4832,Kari 1 - Tank 2,2,404.77031,1.686542958,19,155N,103W,WILLIAMS
"Continental Resources, Inc.",3310501799,-103.9760046,48.2404546,209266,Kari 1-19H,4833,Kari 1 - Tank 3,3,404.71751,1.686322958,19,155N,103W,WILLIAMS
"Continental Resources, Inc.",3310501766,-104.0077292,48.2423195,209267,Obert 1-13H,4488,Obert - Tank 1,1,404.55786,1.68565775,13,155N,104W,WILLIAMS
"Continental Resources, Inc.",3310501766,-104.0077292,48.2423195,209267,Obert 1-13H,4489,Obert - Tank 2,2,404.66471,1.686102958,13,155N,104W,WILLIAMS
"Continental Resources, Inc.",3310501766,-104.0077292,48.2423195,209267,Obert 1-13H,4490,Obert - Tank 3,3,404.61066,1.68587775,13,155N,104W,WILLIAMS
"Continental Resources, Inc.",3310501781,-104.0096747,48.240561,209268,Stedman 1-24H,4562,Stedman - Tank 1,1,404.55786,1.68565775,24,155N,104W,WILLIAMS
"Continental Resources, Inc.",3310501781,-104.0096747,48.240561,209268,Stedman 1-24H,4563,Stedman - Tank 2,2,404.55786,1.68565775,24,155N,104W,WILLIAMS
"Continental Resources, Inc.",3310501781,-104.0096747,48.240561,209268,Stedman 1-24H,4564,Stedman - Tank 3,3,404.55786,1.68565775,24,155N,104W,WILLIAMS
"Continental Resources, Inc.",3310501805,-103.9669383,48.2273269,209269,Lee 1-20H,4740,Lee 1 - Tank 1,1,404.66471,1.686102958,20,155N,103W,WILLIAMS
"Continental Resources, Inc.",3310501805,-103.9669383,48.2273269,209269,Lee 1-20H,4741,Lee 1 - Tank 2,2,404.82289,1.686762042,20,155N,103W,WILLIAMS
"Continental Resources, Inc.",3310501805,-103.9669383,48.2273269,209269,Lee 1-20H,4742,Lee 1 - Tank 3,3,404.82289,1.686762042,20,155N,103W,WILLIAMS
"Continental Resources, Inc.",3310501851,-103.8788536,48.1991494,209270,Goodman 1-36H,5012,Goodman 1 - Tank 1,1,404.77031,1.686542958,36,155N,103W,WILLIAMS
"Continental Resources, Inc.",3310501851,-103.8788536,48.1991494,209270,Goodman 1-36H,5013,Goodman 1 - Tank 2,2,404.61066,1.68587775,36,155N,103W,WILLIAMS
"Continental Resources, Inc.",3310501851,-103.8788536,48.1991494,209270,Goodman 1-36H,5014,Goodman 1 - Tank 3,3,404.71751,1.686322958,36,155N,103W,WILLIAMS
"Continental Resources, Inc.",3310501789,-103.9662501,48.2260843,209271,Anseth 1-29H,4613,Anseth - Tank 1,1,404.71751,1.686322958,29,155N,103W,WILLIAMS
"Continental Resources, Inc.",3310501789,-103.9662501,48.2260843,209271,Anseth 1-29H,4614,Anseth - Tank 2,2,404.66471,1.686102958,29,155N,103W,WILLIAMS
"Continental Resources, Inc.",3310501789,-103.9662501,48.2260843,209271,Anseth 1-29H,4615,Anseth - Tank 3,3,404.71751,1.686322958,29,155N,103W,WILLIAMS
"Continental Resources, Inc.",3302300640,-103.0690505,48.7773182,209281,Glasoe 4-18H,5902,Glasoe 4 - Tank 1,1,400.37856,1.668244,18,161N,095W,DIVIDE
"Continental Resources, Inc.",3302300640,-103.0690505,48.7773182,209281,Glasoe 4-18H,5903,Glasoe 4 - Tank 2,2,400.37856,1.668244,18,161N,095W,DIVIDE
"Continental Resources, Inc.",3302300640,-103.0690505,48.7773182,209281,Glasoe 4-18H,5904,Glasoe 4 - Tank 3,3,400.37856,1.668244,18,161N,095W,DIVIDE
